"_id","eventTime","tankLevel","tankLevelPercentage"
"60b57a50a44d2d0b2d4af18a","2021-06-01T00:07:41.033Z",522600,20.82
"60b5966ea44d2d0b2d4af237","2021-06-01T00:22:42.502Z",522600,20.82
"60b5966fa44d2d0b2d4af239","2021-06-01T00:37:42.502Z",502500,20.02
"60b5966fa44d2d0b2d4af23b","2021-06-01T00:52:42.502Z",502500,20.02
"60b59670a44d2d0b2d4af23d","2021-06-01T01:07:42.502Z",502500,20.02
"60b59670a44d2d0b2d4af23f","2021-06-01T01:22:42.502Z",482400,19.22
"60b59671a44d2d0b2d4af241","2021-06-01T01:37:42.502Z",502500,20.02
"60b59671a44d2d0b2d4af243","2021-06-01T01:52:42.502Z",482400,19.22
"60b59672a44d2d0b2d4af245","2021-06-01T02:07:42.502Z",502500,20.02
"60b5b28ea44d2d0b2d4af316","2021-06-01T02:22:41.958Z",462300,18.42
"60b5b28ea44d2d0b2d4af318","2021-06-01T02:37:41.958Z",482400,19.22
"60b5b28fa44d2d0b2d4af31a","2021-06-01T02:52:41.958Z",462300,18.42
"60b5b28fa44d2d0b2d4af31c","2021-06-01T03:07:41.958Z",442200,17.62
"60b5b290a44d2d0b2d4af31e","2021-06-01T03:22:41.958Z",442200,17.62
"60b5b290a44d2d0b2d4af320","2021-06-01T03:37:41.958Z",442200,17.62
"60b5b291a44d2d0b2d4af322","2021-06-01T03:52:41.958Z",442200,17.62
"60b5b291a44d2d0b2d4af324","2021-06-01T04:07:41.958Z",442200,17.62
"60b5ceafa44d2d0b2d4af406","2021-06-01T04:22:43.108Z",442200,17.62
"60b5ceb0a44d2d0b2d4af408","2021-06-01T04:37:43.108Z",422100,16.82
"60b5ceb0a44d2d0b2d4af40a","2021-06-01T04:52:43.108Z",422100,16.82
"60b5ceb1a44d2d0b2d4af40c","2021-06-01T05:07:43.108Z",422100,16.82
"60b5ceb1a44d2d0b2d4af40e","2021-06-01T05:22:43.108Z",422100,16.82
"60b5ceb2a44d2d0b2d4af410","2021-06-01T05:37:43.108Z",402000,16.02
"60b5ceb2a44d2d0b2d4af412","2021-06-01T05:52:43.108Z",402000,16.02
"60b5ceb3a44d2d0b2d4af414","2021-06-01T06:07:43.108Z",402000,16.02
"60b5eacea44d2d0b2d4af4cf","2021-06-01T06:22:42.080Z",381900,15.22
"60b5eacfa44d2d0b2d4af4d1","2021-06-01T06:37:42.080Z",381900,15.22
"60b5eacfa44d2d0b2d4af4d3","2021-06-01T06:52:42.080Z",402000,16.02
"60b5ead0a44d2d0b2d4af4d5","2021-06-01T07:07:42.080Z",381900,15.22
"60b5fd53a44d2d0b2d4af4f1","2021-06-01T07:11:42.981Z",341700,13.61
"60b5ead0a44d2d0b2d4af4d7","2021-06-01T07:22:42.080Z",381900,15.22
"60b5fd54a44d2d0b2d4af4f3","2021-06-01T07:26:42.981Z",341700,13.61
"60b5ead1a44d2d0b2d4af4d9","2021-06-01T07:37:42.080Z",361800,14.41
"60b5fd54a44d2d0b2d4af4f5","2021-06-01T07:41:42.981Z",341700,13.61
"60b5ead1a44d2d0b2d4af4db","2021-06-01T07:52:42.080Z",381900,15.22
"60b5fd55a44d2d0b2d4af4f7","2021-06-01T07:56:42.981Z",341700,13.61
"60b5ead2a44d2d0b2d4af4dd","2021-06-01T08:07:42.080Z",361800,14.41
"60b5fd55a44d2d0b2d4af4f9","2021-06-01T08:11:42.981Z",341700,13.61
"60b606eea44d2d0b2d4af616","2021-06-01T08:22:42.430Z",361800,14.41
"60b5fd56a44d2d0b2d4af4fb","2021-06-01T08:26:42.981Z",341700,13.61
"60b606efa44d2d0b2d4af618","2021-06-01T08:37:42.430Z",341700,13.61
"60b5fd56a44d2d0b2d4af4fd","2021-06-01T08:41:42.981Z",341700,13.61
"60b606f0a44d2d0b2d4af626","2021-06-01T08:52:42.430Z",361800,14.41
"60b5fd57a44d2d0b2d4af4ff","2021-06-01T08:56:42.981Z",341700,13.61
"60b606f0a44d2d0b2d4af628","2021-06-01T09:07:42.430Z",341700,13.61
"60b5fd57a44d2d0b2d4af501","2021-06-01T09:11:42.981Z",361800,14.41
"60b606f1a44d2d0b2d4af62c","2021-06-01T09:22:42.430Z",341700,13.61
"60b5fd58a44d2d0b2d4af503","2021-06-01T09:26:42.981Z",603000,24.02
"60b606f1a44d2d0b2d4af62e","2021-06-01T09:37:42.430Z",2050200,81.68
"60b606f2a44d2d0b2d4af63e","2021-06-01T09:52:42.430Z",2030100,80.88
"60b606f2a44d2d0b2d4af640","2021-06-01T10:07:42.430Z",2030100,80.88
"60b62309a44d2d0b2d4af735","2021-06-01T10:22:37.388Z",2010000,80.08
"60b6230aa44d2d0b2d4af739","2021-06-01T10:37:37.388Z",2010000,80.08
"60b6230aa44d2d0b2d4af73b","2021-06-01T10:52:37.388Z",2010000,80.08
"60b6230ba44d2d0b2d4af73d","2021-06-01T11:07:37.388Z",2010000,80.08
"60b6230ba44d2d0b2d4af73f","2021-06-01T11:22:37.388Z",2010000,80.08
"60b6230ca44d2d0b2d4af741","2021-06-01T11:37:37.388Z",1989900,79.28
"60b6230ca44d2d0b2d4af743","2021-06-01T11:52:37.388Z",1989900,79.28
